window_label,d_cut,sigma_cut,change_cut_setting,edge_nan_ksstat,match_tolerance_ka,n_detected_total,n_published_total,n_matched_total,n_unmatched_detected_total,n_unmatched_published_total,median_abs_age_error_ka,mean_abs_age_error_ka,precision_total,recall_total,f1_total,unmatched_total
0.4-4,0.7,1.0,0.4,False,0.8,232,196,177,55,19,0.030899236583699974,0.10659933392127344,0.7629310344827587,0.9030612244897959,0.8271028037383178,74
0.4-4,0.77,1.0,0.4,False,0.8,222,196,171,51,25,0.028365548485936642,0.10969389527624246,0.7702702702702703,0.8724489795918368,0.8181818181818182,76
0.4-4,0.72,2.0,0.2,False,0.8,269,196,165,104,31,0.0219348895587288,0.09322753088902491,0.6133828996282528,0.8418367346938775,0.7096774193548386,135
0.4-4,0.77,2.0,0.2,False,0.8,259,196,159,100,37,0.021400000000014074,0.09414786435359937,0.6138996138996139,0.8112244897959183,0.6989010989010989,137
0.4-4,0.75,2.0,0.2,False,0.8,263,196,161,102,35,0.021512253643088286,0.09235157061735949,0.6121673003802282,0.8214285714285714,0.7015250544662309,137
0.4-4,0.7,2.0,0.2,False,0.8,273,196,165,108,31,0.021219838610001318,0.09193740743223441,0.6043956043956044,0.8418367346938775,0.7036247334754797,139
0.4-4,0.68,2.0,0.2,False,0.8,275,196,165,110,31,0.021219838610001318,0.09193740743223441,0.6,0.8418367346938775,0.7006369426751591,141
0.4-4,0.75,1.5,0.2,False,0.8,286,196,170,116,26,0.027350000000026853,0.10522177924969883,0.5944055944055944,0.8673469387755102,0.7053941908713693,142
0.4-4,0.77,1.5,0.2,False,0.8,280,196,166,114,30,0.02787371560226859,0.10780532943282509,0.5928571428571429,0.8469387755102041,0.6974789915966387,144
0.4-4,0.72,1.5,0.2,False,0.8,290,196,171,119,25,0.028149999999996567,0.10768464630210685,0.5896551724137931,0.8724489795918368,0.7037037037037036,144
0.4-4,0.68,1.5,0.2,False,0.8,293,196,172,121,24,0.030600000000049477,0.10727470726739122,0.5870307167235495,0.8775510204081632,0.7034764826175869,145
0.4-4,0.7,1.5,0.2,False,0.8,292,196,171,121,25,0.03067500000004486,0.10891163195113641,0.5856164383561644,0.8724489795918368,0.7008196721311476,146
0.4-4,0.75,1.0,0.2,False,0.8,293,196,170,123,26,0.025848715602265315,0.1083354708634633,0.5802047781569966,0.8673469387755102,0.6952965235173824,149
